                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3537,                 3.0295,                  2.188,                0.46758,                0.29213,                0.26935,                0.09337,                 2.4876,                  1.908,                 1.5151,                0.01009,                0.00999,                0.00999
                      2,                 2.3798,                 1.7276,                 1.4569,                0.59391,                 0.3677,                 0.3719,                0.13821,                 2.2504,                 1.7343,                 1.3946,               0.009967,               0.009967,               0.009967
                      3,                 2.2005,                 1.4758,                 1.3618,                0.64209,                0.42026,                0.43552,                0.17343,                 2.1293,                 1.3781,                 1.3299,               0.009934,               0.009934,               0.009934
                      4,                 2.1257,                 1.3695,                 1.3198,                0.66873,                0.43539,                0.45202,                0.17906,                 2.0955,                 1.4036,                 1.3137,               0.009901,               0.009901,               0.009901
                      5,                 2.0748,                 1.3098,                  1.302,                0.69836,                0.45141,                0.48529,                0.19718,                 2.0222,                 1.2361,                 1.2775,               0.009868,               0.009868,               0.009868
                      6,                 2.0379,                 1.2654,                 1.2856,                0.70446,                0.47187,                0.50049,                0.20748,                 1.9941,                 1.1992,                 1.2693,               0.009835,               0.009835,               0.009835
                      7,                 2.0024,                 1.2158,                 1.2666,                0.71819,                0.47558,                0.50576,                0.21148,                 1.9585,                 1.1582,                 1.2531,               0.009802,               0.009802,               0.009802
                      8,                 1.9926,                 1.1979,                 1.2607,                0.71975,                0.47617,                0.51451,                0.21605,                 1.9392,                 1.1332,                 1.2424,               0.009769,               0.009769,               0.009769
                      9,                 1.9691,                 1.1698,                 1.2526,                0.72112,                0.48382,                0.51753,                0.21832,                 1.9292,                  1.126,                 1.2371,               0.009736,               0.009736,               0.009736
                     10,                 1.9563,                 1.1489,                 1.2406,                0.71863,                0.49819,                0.53177,                0.22213,                 1.9302,                 1.0982,                 1.2339,               0.009703,               0.009703,               0.009703
                     11,                 1.9486,                 1.1425,                 1.2386,                0.72914,                0.50434,                0.53453,                0.22536,                 1.9002,                 1.0866,                 1.2234,                0.00967,                0.00967,                0.00967
                     12,                 1.9265,                 1.1196,                 1.2337,                0.73447,                0.51178,                0.54371,                0.23283,                 1.8988,                 1.0704,                 1.2159,               0.009637,               0.009637,               0.009637
                     13,                 1.9233,                 1.1089,                  1.226,                0.73398,                0.51755,                0.55712,                0.24026,                 1.8851,                 1.0494,                 1.2129,               0.009604,               0.009604,               0.009604
